customer_id,cluster,segment_name,age,gender,recency,frequency,monetary_total,email_subject_generic,email_subject_targeted,discount_percent,campaign_type,expected_ctr_base,send_frequency,channel_priority
1,2,At Risk,47,M,17,5,280.97,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
2,1,Loyal Customers,37,M,13,17,2573.76,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
3,3,Potential Loyalists,49,M,233,3,228.07,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
4,3,Potential Loyalists,62,M,160,3,283.5,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
5,0,Champions,36,M,20,6,446.39,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
6,0,Champions,36,M,15,10,790.3,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
7,2,At Risk,63,F,141,5,494.18,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
8,2,At Risk,51,F,37,2,131.03,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
9,0,Champions,32,M,29,3,276.79,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
10,2,At Risk,48,F,81,3,208.81,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
11,1,Loyal Customers,33,F,10,15,2426.22,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
12,0,Champions,33,M,6,6,335.34,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
13,2,At Risk,43,F,104,4,307.61,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
14,1,Loyal Customers,18,M,22,20,2969.6,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
15,0,Champions,18,F,140,6,398.44,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
16,0,Champions,31,F,11,9,759.48,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
17,0,Champions,24,M,110,3,160.23,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
18,2,At Risk,44,F,74,4,148.87,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
19,0,Champions,26,M,28,8,732.72,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
20,0,Champions,18,F,16,5,384.03,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
21,2,At Risk,61,M,24,4,295.91,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
22,0,Champions,36,M,83,4,249.15,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
23,0,Champions,41,M,57,4,374.66,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
24,0,Champions,18,F,33,4,197.1,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
25,0,Champions,31,M,8,5,386.57,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
26,0,Champions,41,M,38,2,111.2,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
27,0,Champions,22,F,69,5,451.37,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
28,3,Potential Loyalists,45,M,115,2,69.7,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
29,0,Champions,30,F,9,2,117.08,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
30,0,Champions,35,F,24,12,819.34,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
31,0,Champions,30,F,126,6,519.57,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
32,2,At Risk,67,F,133,3,173.72,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
33,0,Champions,39,F,87,3,282.88,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
34,0,Champions,24,M,36,10,833.57,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
35,2,At Risk,52,M,46,6,610.57,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
36,0,Champions,21,M,83,3,180.49,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
37,2,At Risk,43,M,56,3,246.97,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
38,3,Potential Loyalists,18,F,222,3,218.96,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
39,3,Potential Loyalists,20,M,138,1,60.94,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
40,2,At Risk,42,F,16,11,914.17,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
41,2,At Risk,51,F,12,9,762.13,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
42,2,At Risk,42,M,13,7,294.37,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
43,0,Champions,38,M,9,8,307.59,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
44,3,Potential Loyalists,35,F,321,1,29.69,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
45,0,Champions,18,M,46,9,701.95,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
46,0,Champions,29,M,22,3,84.37,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
47,0,Champions,33,M,44,5,330.9,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
48,2,At Risk,55,M,69,5,171.38,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
49,1,Loyal Customers,45,F,71,12,1859.03,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
50,3,Potential Loyalists,18,M,167,5,306.31,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
51,2,At Risk,44,M,8,6,380.4,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
52,0,Champions,34,M,18,7,584.3,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
53,3,Potential Loyalists,29,M,140,4,332.25,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
54,2,At Risk,49,F,63,5,160.91,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
55,2,At Risk,55,M,3,10,882.68,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
56,2,At Risk,53,F,89,7,199.87,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
57,0,Champions,27,F,14,8,588.3,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
58,1,Loyal Customers,35,M,24,15,2058.3,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
59,2,At Risk,44,M,24,7,612.14,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
60,3,Potential Loyalists,54,M,144,4,209.73,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
61,0,Champions,32,M,22,4,164.03,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
62,3,Potential Loyalists,37,F,179,3,169.01,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
63,0,Champions,23,F,14,12,949.8,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
64,3,Potential Loyalists,22,M,144,6,378.91,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
65,3,Potential Loyalists,52,M,240,1,84.04,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
66,1,Loyal Customers,60,M,9,10,1473.32,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
67,0,Champions,38,F,9,8,578.3,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
68,2,At Risk,55,F,73,6,376.99,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
69,2,At Risk,45,M,71,8,594.74,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
70,0,Champions,30,F,11,7,587.26,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
71,2,At Risk,45,M,15,9,695.68,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
72,2,At Risk,63,F,55,4,234.34,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
73,3,Potential Loyalists,39,M,112,3,239.44,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
74,2,At Risk,63,M,19,5,335.49,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
75,3,Potential Loyalists,18,M,178,2,59.98,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
76,2,At Risk,52,M,18,12,898.11,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
77,0,Champions,41,F,90,3,133.52,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
78,0,Champions,35,M,36,7,617.87,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
79,0,Champions,41,F,58,4,120.19,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
80,0,Champions,18,F,66,6,458.35,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
81,0,Champions,36,F,12,6,528.32,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
82,2,At Risk,45,M,36,2,96.1,Check Out Our Latest Offers,We Miss You! 20% Off Everything,20,Win-Back Campaign,0.06,Monthly,Email + Direct Mail
83,1,Loyal Customers,62,M,16,21,3003.75,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
84,0,Champions,32,F,36,3,141.55,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
85,0,Champions,27,M,56,6,179.71,Check Out Our Latest Offers,Exclusive VIP Access - New Premium Collection,15,Premium Product Launch,0.12,Weekly,Email + SMS + Push
86,1,Loyal Customers,32,M,4,15,2224.18,Check Out Our Latest Offers,Your Favorites Are Back in Stock!,10,Product Restock Alert,0.09,Bi-weekly,Email + Push
87,3,Potential Loyalists,53,M,237,2,53.37,Check Out Our Latest Offers,Complete Your Style - Special Member Pricing,12,Cross-Sell Campaign,0.08,Bi-weekly,Email + Social Media
