customer_id,recency,frequency,monetary_total,monetary_avg,age,gender,behavior_type,cluster,segment_name,segment_description,segment_strategy
1,17,5,280.97,56.19,47,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
2,13,17,2573.76,151.4,37,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
3,233,3,228.07,76.02,49,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
4,160,3,283.5,94.5,62,M,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
5,20,6,446.39,74.4,36,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
6,15,10,790.3,79.03,36,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
7,141,5,494.18,98.84,63,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
8,37,2,131.03,65.52,51,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
9,29,3,276.79,92.26,32,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
10,81,3,208.81,69.6,48,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
11,10,15,2426.22,161.75,33,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
12,6,6,335.34,55.89,33,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
13,104,4,307.61,76.9,43,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
14,22,20,2969.6,148.48,18,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
15,140,6,398.44,66.41,18,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
16,11,9,759.48,84.39,31,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
17,110,3,160.23,53.41,24,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
18,74,4,148.87,37.22,44,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
19,28,8,732.72,91.59,26,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
20,16,5,384.03,76.81,18,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
21,24,4,295.91,73.98,61,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
22,83,4,249.15,62.29,36,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
23,57,4,374.66,93.66,41,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
24,33,4,197.1,49.28,18,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
25,8,5,386.57,77.31,31,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
26,38,2,111.2,55.6,41,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
27,69,5,451.37,90.27,22,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
28,115,2,69.7,34.85,45,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
29,9,2,117.08,58.54,30,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
30,24,12,819.34,68.28,35,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
31,126,6,519.57,86.59,30,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
32,133,3,173.72,57.91,67,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
33,87,3,282.88,94.29,39,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
34,36,10,833.57,83.36,24,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
35,46,6,610.57,101.76,52,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
36,83,3,180.49,60.16,21,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
37,56,3,246.97,82.32,43,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
38,222,3,218.96,72.99,18,F,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
39,138,1,60.94,60.94,20,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
40,16,11,914.17,83.11,42,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
41,12,9,762.13,84.68,51,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
42,13,7,294.37,42.05,42,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
43,9,8,307.59,38.45,38,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
44,321,1,29.69,29.69,35,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
45,46,9,701.95,77.99,18,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
46,22,3,84.37,28.12,29,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
47,44,5,330.9,66.18,33,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
48,69,5,171.38,34.28,55,M,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
49,71,12,1859.03,154.92,45,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
50,167,5,306.31,61.26,18,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
51,8,6,380.4,63.4,44,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
52,18,7,584.3,83.47,34,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
53,140,4,332.25,83.06,29,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
54,63,5,160.91,32.18,49,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
55,3,10,882.68,88.27,55,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
56,89,7,199.87,28.55,53,F,Bargain_Hunter,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
57,14,8,588.3,73.54,27,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
58,24,15,2058.3,137.22,35,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
59,24,7,612.14,87.45,44,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
60,144,4,209.73,52.43,54,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
61,22,4,164.03,41.01,32,M,Bargain_Hunter,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
62,179,3,169.01,56.34,37,F,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
63,14,12,949.8,79.15,23,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
64,144,6,378.91,63.15,22,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
65,240,1,84.04,84.04,52,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
66,9,10,1473.32,147.33,60,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities
67,9,8,578.3,72.29,38,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
68,73,6,376.99,62.83,55,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
69,71,8,594.74,74.34,45,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
70,11,7,587.26,83.89,30,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment
71,15,9,695.68,77.3,45,M,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
72,55,4,234.34,58.58,63,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
73,112,3,239.44,79.81,39,M,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
74,19,5,335.49,67.1,63,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers
75,178,2,59.98,29.99,18,M,Bargain_Hunter,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content
