customer_id,age,gender,registration_date,behavior_type
1,47,M,2023-01-13,Occasional
2,37,M,2023-04-25,High_Value
3,49,M,2023-12-13,Occasional
4,62,M,2023-10-30,Regular
5,36,M,2023-02-17,Regular
6,36,M,2023-10-15,Regular
7,63,F,2023-04-23,Regular
8,51,F,2023-01-04,Occasional
9,32,M,2023-12-24,Regular
10,48,F,2023-03-21,Regular
11,33,F,2023-02-22,High_Value
12,33,M,2023-07-03,Occasional
13,43,F,2023-01-23,Occasional
14,18,M,2023-07-13,High_Value
15,18,F,2023-11-18,Occasional
16,31,F,2023-10-23,Regular
17,24,M,2023-01-24,Occasional
18,44,F,2023-02-10,Bargain_Hunter
19,26,M,2023-07-14,Regular
20,18,F,2023-03-25,Regular
21,61,M,2023-12-10,Regular
22,36,M,2023-11-08,Occasional
23,41,M,2023-03-25,Regular
24,18,F,2023-11-24,Occasional
25,31,M,2023-12-17,Regular
26,41,M,2023-04-28,Occasional
27,22,F,2023-07-25,Regular
28,45,M,2023-10-18,Bargain_Hunter
29,30,F,2023-04-19,Occasional
30,35,F,2023-11-26,Regular
31,30,F,2023-03-13,Regular
32,67,F,2023-10-27,Regular
33,39,F,2023-07-05,Regular
34,24,M,2023-09-18,Regular
35,52,M,2023-02-26,Regular
36,21,M,2023-12-15,Regular
37,43,M,2023-07-17,Regular
38,18,F,2023-09-28,Regular
39,20,M,2023-12-15,Occasional
40,42,F,2023-11-25,Regular
41,51,F,2023-08-11,Regular
42,42,M,2023-05-15,Bargain_Hunter
43,38,M,2023-09-17,Bargain_Hunter
44,35,F,2023-11-24,Occasional
45,18,M,2023-03-20,Regular
46,29,M,2023-10-04,Bargain_Hunter
47,33,M,2023-11-03,Regular
48,55,M,2023-02-27,Bargain_Hunter
49,45,F,2023-05-03,High_Value
50,18,M,2023-02-13,Occasional
51,44,M,2023-09-30,Occasional
52,34,M,2023-12-04,Regular
53,29,M,2023-05-16,Occasional
54,49,F,2023-04-19,Bargain_Hunter
55,55,M,2024-01-01,Regular
56,53,F,2023-08-13,Bargain_Hunter
57,27,F,2023-03-03,Regular
58,35,M,2023-06-23,High_Value
59,44,M,2023-10-29,Regular
60,54,M,2023-12-29,Occasional
61,32,M,2023-02-04,Bargain_Hunter
62,37,F,2023-02-06,Occasional
63,23,F,2023-12-09,Regular
64,22,M,2023-10-20,Occasional
65,52,M,2023-08-31,Occasional
66,60,M,2023-02-18,High_Value
67,38,F,2023-07-01,Regular
68,55,F,2023-01-28,Occasional
69,45,M,2023-02-01,Regular
70,30,F,2023-02-25,Regular
71,45,M,2023-10-02,Regular
72,63,F,2023-04-04,Regular
73,39,M,2023-02-08,Regular
74,63,M,2023-01-26,Occasional
75,18,M,2023-02-17,Bargain_Hunter
76,52,M,2023-03-27,Regular
77,41,F,2023-04-20,Bargain_Hunter
78,35,M,2023-03-26,Regular
79,41,F,2023-05-16,Bargain_Hunter
80,18,F,2023-05-27,Regular
81,36,F,2023-03-21,Regular
82,45,M,2023-01-30,Occasional
83,62,M,2023-06-10,High_Value
84,32,F,2023-09-15,Bargain_Hunter
85,27,M,2023-01-30,Bargain_Hunter
86,32,M,2023-04-06,High_Value
87,53,M,2023-12-12,Bargain_Hunter
88,44,F,2023-03-03,Bargain_Hunter
89,32,M,2023-10-24,Occasional
90,47,M,2023-08-03,Occasional
91,41,F,2023-05-14,Regular
92,54,F,2023-05-03,Regular
93,29,M,2023-12-10,Occasional
94,35,F,2023-06-11,Bargain_Hunter
95,34,M,2023-01-05,Regular
96,18,M,2023-02-07,Occasional
97,44,F,2023-03-09,Bargain_Hunter
98,43,M,2023-05-06,Regular
99,40,M,2023-08-13,Occasional
100,36,F,2023-11-10,Bargain_Hunter
101,18,M,2023-12-08,Occasional
102,33,F,2023-12-06,High_Value
103,34,M,2023-05-16,High_Value
104,27,M,2023-10-11,Regular
105,37,F,2023-11-06,Regular
106,46,F,2023-04-15,Occasional
107,68,F,2023-09-16,Regular
108,42,M,2023-02-17,Occasional
109,43,F,2023-01-23,High_Value
110,38,M,2023-11-23,Bargain_Hunter
111,18,M,2023-08-15,Occasional
112,39,F,2023-10-15,High_Value
113,40,M,2023-12-20,Bargain_Hunter
114,76,M,2023-07-09,Occasional
115,37,M,2023-08-09,High_Value
116,44,F,2023-07-06,Bargain_Hunter
117,39,M,2023-07-03,Regular
118,22,M,2023-12-08,High_Value
119,57,F,2023-11-14,Occasional
120,51,M,2023-03-25,Bargain_Hunter
121,51,M,2023-07-31,High_Value
122,26,F,2023-07-30,Occasional
123,61,M,2023-05-17,Regular
124,18,M,2023-07-15,Bargain_Hunter
125,48,F,2023-04-24,Regular
126,72,F,2023-06-29,Regular
127,25,M,2023-04-25,High_Value
128,31,M,2023-07-24,Regular
129,41,M,2023-05-23,Regular
130,32,F,2023-12-14,Bargain_Hunter
131,18,F,2023-01-15,High_Value
132,41,F,2023-04-02,Occasional
133,24,F,2023-01-20,High_Value
134,47,F,2023-06-26,Occasional
135,26,F,2023-08-12,Occasional
136,63,M,2023-07-17,Bargain_Hunter
137,28,M,2023-05-11,High_Value
138,35,F,2023-01-01,Occasional
139,52,M,2023-07-06,Regular
140,21,F,2023-11-16,Regular
141,43,M,2023-06-03,Occasional
142,59,F,2023-06-17,Regular
143,18,F,2023-10-11,High_Value
144,42,F,2023-12-07,Bargain_Hunter
145,43,M,2023-11-12,Occasional
146,51,F,2023-10-08,Occasional
147,21,F,2023-05-27,Regular
148,20,F,2023-08-27,Regular
149,47,M,2023-09-19,Regular
150,44,M,2023-12-04,High_Value
151,43,F,2023-02-17,Occasional
152,45,M,2023-12-11,Regular
153,29,M,2023-03-17,High_Value
154,43,M,2023-09-01,Occasional
155,44,M,2023-08-22,Regular
156,29,M,2023-12-23,Regular
157,67,F,2023-05-05,High_Value
158,47,M,2023-02-24,Occasional
159,22,M,2023-04-01,Occasional
160,49,F,2023-01-26,Occasional
161,25,M,2023-08-22,High_Value
162,51,F,2023-12-08,Occasional
163,57,F,2023-08-15,Occasional
164,27,F,2023-10-08,Regular
165,54,M,2023-09-01,Regular
166,46,M,2023-11-23,Regular
167,52,F,2023-11-17,Regular
168,68,F,2023-02-09,Occasional
169,36,M,2023-05-20,Regular
170,28,M,2023-03-12,Regular
171,26,F,2023-12-22,Regular
172,27,M,2023-02-02,Regular
173,38,F,2023-10-05,Regular
174,45,M,2023-04-16,Occasional
175,44,F,2023-10-27,Bargain_Hunter
176,52,M,2023-10-22,Regular
177,40,M,2023-06-30,Regular
178,61,F,2023-08-03,Occasional
179,36,M,2023-09-07,Regular
180,80,F,2023-09-06,High_Value
181,49,F,2023-12-09,Occasional
182,27,F,2023-03-26,Occasional
183,23,M,2023-11-15,Occasional
