customer_id,recency,frequency,monetary_total,monetary_avg,age,gender,behavior_type,cluster,segment_name,segment_description,segment_strategy,test_group,campaign_version,clicked,converted,purchase_amount,revenue_per_customer,customer_lifetime_value,engagement_score
1,17,5,280.97,56.19,47,M,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,702.4250000000001,29.8
2,13,17,2573.76,151.4,37,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,6434.400000000001,71.1
3,233,3,228.07,76.02,49,M,Occasional,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,570.175,14.2
4,160,3,283.5,94.5,62,M,Regular,3,Potential Loyalists,Recent customers with good frequency,Nurture relationship with targeted content,A,Generic,0,0,0.0,0.0,708.75,18.7
5,20,6,446.39,74.4,36,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1115.975,32.8
6,15,10,790.3,79.03,36,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1975.75,42.7
7,141,5,494.18,98.84,63,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,1235.45,25.0
8,37,2,131.03,65.52,51,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,327.575,22.4
9,29,3,276.79,92.26,32,M,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,691.975,25.9
10,81,3,208.81,69.6,48,F,Regular,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,B,Targeted,0,0,0.0,0.0,522.025,22.4
11,10,15,2426.22,161.75,33,F,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,6065.549999999999,66.7
12,6,6,335.34,55.89,33,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,1,1,69.42,69.42,838.3499999999999,32.5
13,104,4,307.61,76.9,43,F,Occasional,2,At Risk,Previously valuable but haven't purchased recently,Win-back campaigns with special offers,A,Generic,0,0,0.0,0.0,769.0250000000001,23.6
14,22,20,2969.6,148.48,18,M,High_Value,1,Loyal Customers,Regular customers with good monetary value,Upsell and cross-sell opportunities,A,Generic,0,0,0.0,0.0,7424.0,79.2
15,140,6,398.44,66.41,18,F,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,B,Targeted,0,0,0.0,0.0,996.1,25.7
16,11,9,759.48,84.39,31,F,Regular,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,1898.7,41.1
17,110,3,160.23,53.41,24,M,Occasional,0,Champions,"High-value, frequent, recent customers",Reward and retain with VIP treatment,A,Generic,0,0,0.0,0.0,400.575,20.3
